 lambda     Rad_up_noisy   Rad_up_pure    Rad_up_noise
 693.266    7.93809e-02    7.94454e-02   -6.45420e-05
 694.091    7.91838e-02    7.90585e-02    1.25317e-04
 694.916    7.91470e-02    7.92271e-02   -8.00852e-05
 695.741    8.00390e-02    7.99622e-02    7.68380e-05
 696.565    8.09725e-02    8.07990e-02    1.73514e-04
 697.390    8.11264e-02    8.11125e-02    1.39264e-05
 698.215    8.05095e-02    8.06592e-02   -1.49654e-04
 699.039    8.00267e-02    7.97078e-02    3.18877e-04
 699.864    7.87237e-02    7.86890e-02    3.47248e-05
 700.689    7.79950e-02    7.79775e-02    1.75120e-05
 701.513    7.77565e-02    7.78797e-02   -1.23152e-04
 702.338    7.85664e-02    7.84380e-02    1.28400e-04
 703.162    7.91204e-02    7.92669e-02   -1.46486e-04
 703.987    7.96605e-02    7.98496e-02   -1.89103e-04
 704.811    7.97759e-02    7.99891e-02   -2.13241e-04
 705.635    7.97754e-02    7.98754e-02   -1.00028e-04
 706.460    7.99492e-02    7.98130e-02    1.36198e-04
 707.284    8.01609e-02    7.99299e-02    2.30953e-04
 708.108    7.98343e-02    8.01101e-02   -2.75829e-04
 708.933    8.05409e-02    8.02129e-02    3.28035e-04
 709.757    8.05154e-02    8.02454e-02    2.70028e-04
 710.581    8.01478e-02    8.02427e-02   -9.48962e-05
 711.405    8.00143e-02    8.01520e-02   -1.37731e-04
 712.229    7.98710e-02    7.99001e-02   -2.91065e-05
 713.053    7.92445e-02    7.94206e-02   -1.76062e-04
 713.877    7.85936e-02    7.85759e-02    1.77207e-05
 714.701    7.70250e-02    7.71466e-02   -1.21647e-04
 715.525    7.50901e-02    7.48963e-02    1.93837e-04
 716.349    7.15968e-02    7.17594e-02   -1.62637e-04
 717.173    6.79551e-02    6.81506e-02   -1.95507e-04
 717.997    6.50002e-02    6.49631e-02    3.71377e-05
 718.820    6.33250e-02    6.31304e-02    1.94644e-04
 719.644    6.31368e-02    6.32233e-02   -8.64508e-05
 720.468    6.52682e-02    6.50797e-02    1.88536e-04
 721.291    6.73127e-02    6.75542e-02   -2.41506e-04
 722.115    6.91058e-02    6.91296e-02   -2.37900e-05
 722.939    6.87443e-02    6.90939e-02   -3.49580e-04
 723.762    6.79670e-02    6.79632e-02    3.84438e-06
 724.586    6.69570e-02    6.67537e-02    2.03306e-04
 725.409    6.59917e-02    6.60593e-02   -6.75985e-05
 726.232    6.56634e-02    6.58212e-02   -1.57806e-04
 727.056    6.54866e-02    6.57047e-02   -2.18086e-04
 727.879    6.55748e-02    6.55466e-02    2.82359e-05
 728.702    6.55280e-02    6.54812e-02    4.67839e-05
 729.525    6.57881e-02    6.57301e-02    5.79606e-05
 730.348    6.65300e-02    6.64524e-02    7.75966e-05
 731.171    6.77928e-02    6.77690e-02    2.37773e-05
 731.994    6.96927e-02    6.96229e-02    6.98306e-05
 732.817    7.15147e-02    7.16103e-02   -9.56460e-05
 733.640    7.30498e-02    7.31425e-02   -9.26502e-05
 734.463    7.39692e-02    7.38490e-02    1.20176e-04
 735.286    7.38226e-02    7.38708e-02   -4.81814e-05
 736.109    7.37758e-02    7.37147e-02    6.10847e-05
 736.932    7.36458e-02    7.37404e-02   -9.45556e-05
 737.754    7.34223e-02    7.39134e-02   -4.91088e-04
 738.577    7.38546e-02    7.40973e-02   -2.42699e-04
 739.399    7.43243e-02    7.43062e-02    1.81158e-05
 740.222    7.46636e-02    7.45892e-02    7.44348e-05
 741.044    7.50942e-02    7.49553e-02    1.38919e-04
 741.867    7.52335e-02    7.54631e-02   -2.29626e-04
 742.689    7.62156e-02    7.61213e-02    9.42735e-05
 743.511    7.70499e-02    7.67429e-02    3.07010e-04
 744.334    7.69007e-02    7.71434e-02   -2.42722e-04
 745.156    7.74000e-02    7.73840e-02    1.60385e-05
 745.978    7.72387e-02    7.76068e-02   -3.68124e-04
 746.800    7.72753e-02    7.77701e-02   -4.94818e-04
 747.622    7.76978e-02    7.77332e-02   -3.54186e-05
 748.444    7.79534e-02    7.74769e-02    4.76507e-04
 749.266    7.71967e-02    7.71225e-02    7.42428e-05
 750.088    7.70176e-02    7.68391e-02    1.78453e-04
 750.909    7.64792e-02    7.67522e-02   -2.73014e-04
 751.731    7.68538e-02    7.68605e-02   -6.70987e-06
 752.553    7.71716e-02    7.70562e-02    1.15383e-04
 753.374    7.73878e-02    7.72164e-02    1.71444e-04
 754.196    7.70454e-02    7.72296e-02   -1.84168e-04
 755.017    7.66970e-02    7.70178e-02   -3.20772e-04
 755.839    7.67795e-02    7.65140e-02    2.65515e-04
 756.660    7.54132e-02    7.53096e-02    1.03565e-04
 757.481    7.25797e-02    7.21609e-02    4.18811e-04
 758.302    6.54189e-02    6.54083e-02    1.05997e-05
 759.123    5.51429e-02    5.50048e-02    1.38119e-04
 759.945    4.44948e-02    4.42147e-02    2.80075e-04
 760.765    3.74272e-02    3.75354e-02   -1.08156e-04
 761.586    3.64774e-02    3.63960e-02    8.14030e-05
 762.407    3.86956e-02    3.85781e-02    1.17490e-04
 763.228    4.20142e-02    4.17705e-02    2.43705e-04
 764.049    4.56207e-02    4.55982e-02    2.25480e-05
 764.869    5.03572e-02    5.03389e-02    1.83129e-05
 765.690    5.58519e-02    5.56424e-02    2.09467e-04
 766.510    6.10188e-02    6.07975e-02    2.21304e-04
 767.331    6.54138e-02    6.52521e-02    1.61714e-04
 768.151    6.86666e-02    6.86917e-02   -2.51353e-05
 768.971    7.11213e-02    7.10196e-02    1.01711e-04
 769.792    7.21645e-02    7.23921e-02   -2.27638e-04
 770.612    7.26506e-02    7.31025e-02   -4.51883e-04
 771.432    7.31250e-02    7.34159e-02   -2.90934e-04
 772.252    7.35739e-02    7.35040e-02    6.98904e-05
 773.072    7.35775e-02    7.34561e-02    1.21352e-04
 773.892    7.33918e-02    7.33357e-02    5.60785e-05
 774.711    7.30235e-02    7.32659e-02   -2.42395e-04
 775.531    7.34078e-02    7.33620e-02    4.57792e-05
 776.351    7.37709e-02    7.35532e-02    2.17709e-04
 777.170    7.39377e-02    7.36550e-02    2.82690e-04
 777.989    7.31992e-02    7.35942e-02   -3.94998e-04
 778.809    7.37655e-02    7.34224e-02    3.43103e-04
 779.628    7.34393e-02    7.32170e-02    2.22287e-04
 780.447    7.31175e-02    7.30405e-02    7.69808e-05
